0xFFD100E0 0x1B1B1B9B
0xFFD01400 0x4301503E
0xFFD01404 0x39943000
0xFFD01408 0x33137773
0xFFD0140C 0x1600023A
0xFFD01410 0x0600000C
0xFFD01414 0x00000000
0xFFD01418 0x00000000
0xFFD0141C 0x00000672
0xFFD01420 0x00000004
0xFFD01424 0x0000F17F
0xFFD01428 0x000C6610
0xFFD0147C 0x0000A771
0xFFD014C0 0x155524C9
0xFFD014C4 0x055524C9
0xFFD01504 0x0FFFFFF1
0xFFD01508 0x20000000
0xFFD0150C 0x00000000
0xFFD01514 0x00000000
0xFFD0151C 0x00000000
0xFFD01494 0x00010001
0xFFD01498 0x00000003
0xFFD0149C 0x0000FF11
0xFFD015D0 0x00000630
0xFFD015D4 0x00000046
0xFFD015D8 0x00000008
0xFFD015DC 0x00000000
0xFFD015E0 0x00000021
0xFFD015E4 0x00203C18
0xFFD01480 0x00000001
0xFFD20134 0x66666666
0xFFD20138 0x66666666
0x0 0x0

